Ticker,Expiration,Strike,Type,Delta,IV,LastPrice,DTE,Strategy,ExpectedReturn,DateSuggested
TSLL,2025-05-16,1.0,call,0.9872670455943388,4.312504609374999,6.565199851989746,22.07434266200289,Deep ITM - Consider Synthetic,0.15037882590811352,2025-04-23
TSLL,2025-06-20,0.7,call,0.9841318020511481,4.437504453124999,6.565199851989746,57.07434266200289,Deep ITM - Consider Synthetic,0.149901270980027,2025-04-23
TSLL,2027-01-15,0.7,call,0.9918772453283728,2.6250034375,6.673500061035156,630.0793994097039,Deep ITM - Consider Synthetic,0.14862924046703588,2025-04-24
TSLL,2025-06-20,1.0,call,0.9752674866855566,4.140629824218751,6.565199851989746,57.07434266200289,Deep ITM - Consider Synthetic,0.14855107364172285,2025-04-23
TSLL,2025-06-20,1.7,call,0.9906453403041597,1.6875015625,6.673500061035156,56.07939940970391,Deep ITM - Consider Synthetic,0.14844464392654794,2025-04-24
TSLL,2025-06-20,0.7,call,0.9856908006839431,4.12500484375,6.673500061035156,56.07939940970391,Deep ITM - Consider Synthetic,0.14770222397076718,2025-04-24
TSLL,2025-05-16,1.0,call,0.9809992552930108,5.218753476562499,6.673500061035156,21.07939940970391,Deep ITM - Consider Synthetic,0.1469992127550597,2025-04-24
TSLL,2026-01-16,0.43,call,0.9957954644693311,4.421879472656249,6.78000020980835,267.0743426620029,Deep ITM - Consider Synthetic,0.14687248283986104,2025-04-23
TSLL,2025-06-20,1.7,call,0.9628977413645753,2.71094072265625,6.565199851989746,57.07434266200289,Deep ITM - Consider Synthetic,0.14666693521488844,2025-04-23
TSLL,2025-09-19,1.0,call,0.97812736551577,2.3828165429687496,6.673500061035156,147.0793994097039,Deep ITM - Consider Synthetic,0.14656887039333424,2025-04-24
TSLL,2025-05-09,9.0,put,-0.7839577166318497,1.484377578125,6.565199851989746,15.074342662002891,Neutral Setup - Condor or Butterfly,0.1194110970428801,2025-04-23
TSLL,2025-05-09,11.0,put,-0.7900980515414218,2.144535888671875,6.673500061035156,14.07939940970391,Neutral Setup - Condor or Butterfly,0.11839335345999324,2025-04-24
TSLL,2025-05-02,5.0,call,0.798773720801186,3.1015647460937497,6.78000020980835,8.074342662002891,Neutral Setup - Condor or Butterfly,0.117813229510765,2025-04-23
TSLL,2025-05-02,14.0,put,-0.7956118590426036,3.6484383789062504,6.78000020980835,8.074342662002891,Neutral Setup - Condor or Butterfly,0.11734687823337002,2025-04-23
TSLL,2025-05-09,10.0,put,-0.7816676105990323,1.8437507812499998,6.673500061035156,14.07939940970391,Neutral Setup - Condor or Butterfly,0.11713008218325908,2025-04-24
TSLL,2025-05-02,5.5,call,0.7769190682662033,1.8710943945312501,6.673500061035156,7.07939940970391,Neutral Setup - Condor or Butterfly,0.11641853018065185,2025-04-24
